GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
KwetterS62,rest,TweetResource,3,0,0,0,1,0,1,0,1,0
KwetterS62,rest,JAXRSconfig,3,0,0,0,1,0,1,0,1,0
KwetterS62,rest,AccountResource,3,0,0,0,1,0,1,0,1,0
KwetterS62,dao,AccountDAOImpl,9,0,0,0,2,0,2,0,2,0
KwetterS62,dao,TweetDAOImpl,3,0,0,0,1,0,1,0,1,0
KwetterS62,service,AccountService,3,0,0,0,1,0,1,0,1,0
KwetterS62,service,TweetService,3,0,0,0,1,0,1,0,1,0
KwetterS62,domain,Account_,3,0,0,0,1,0,1,0,1,0
KwetterS62,domain,Role,5,43,0,0,0,2,1,3,1,3
KwetterS62,domain,Account,95,209,10,12,17,69,10,32,2,27
KwetterS62,domain,Tweet_,3,0,0,0,1,0,1,0,1,0
KwetterS62,domain,Tweet,59,170,0,18,10,49,3,24,3,15
KwetterS62,domain,Account.new Object() {...},3,23,0,0,0,1,0,1,0,1
